reviewText,incentivized_999
"What a great bag!  The first thing that caught my eye was the beautiful colors!  It does not disappoint!  This bag is the perfect size for many occasions.  For me-my need is for a travel bag.  Something I can throw a book and my basic needs into.  It zips shut which is a real plus!  It has inner pockets so that you don't lose your smaller items (chapstick, loose change, lotion).  Surprisingly, it even has a small clutch purse on the inside that you can easily access.  Is there something you need to get to quick?  Look at the zippered pocket on the outside.  Just what you need when you are in a hurry-put that important item there so you don't have to dig!  Honestly, the bag just looks classy and feels luxurious!  You have got to see it to understand!  I would purchase this bag again and I recommend it highly.  You should know that I received this item at a reduced price in exchange for an honest and impartial review.",1
"I religously use an OtterBox for my phone's but wanted to try something different that would hold my cards and was a little bit slimmer so I went with the Buddibox.

The design of the case good quality and it covers the phone completely. The phone slips in easily and still gives you access to all of the buttons and doesn't interfere with the camera at all. When the case itself is closed, even with cards in all of the slots and a little cash in the back pouch, it lays flat without any bulge.  It doesn't have any extra frills which makes it unisex and a man could just as easily use it. It slips into my bag without taking up as much room as an Otterbox but since it has card slots built in you don't even need to carry a bag.

PRO'S
* It's small
* I can still take pictures
* It lays flat
* Gives the camera some padding so it doesn't get scratched
* It offers some privacy from wandering eyes
* It will hold cards and cash so you don't have to take a purse as well
* It's unisex design
* Holds cards securely
* It doesn't vibrate as loudly
* Isn't a wristlet
* It comes with a screen cover

CONS
* I wish the corners had a little more cushion to protect when its dropped
* It closes with a magnetic flap but the magnet isn't very strong and can easily open when dropped
* The kickstand takes a little time to break in
* I can't see the notification indicator
* Isn't a wristlet
* It doesn't vibrate as loudly

It's a good alternative if you need a case but don't want something as large and bulky as an Otterbox (or something like an otterbox). It's great for being able to leave your purse behind and gives you easy access to your cards when you need them instead of having to dig for them when you're in a rush.

Overall its a nice, no frills case.

~ I received this case either free or at a reduced price to give my honest and fair opinion. This does not change or effect my opinion in any way and I am not required to give a good review~
~I depend on honest reviews when I am considering purchasing anything online so I would never give a good review when it is not earned!

~If this review was helpful please answer by clicking the ""yes"" box or leave a comment",1
Comfortable but challenging to keep at desired inflation.,0
These are great swim shorts.  Very bibrant! Looks well put together.  My one complaint is that they are very small.  I ordered a extra large and they might be the same size as a medium.  I received this product at a discount or for free for my honest opinion.,1
"I bought this product hoping to make some nice bracelets. I ended up buying the 2mm black onyx and got an 8mm black onyx instead!! These stones are beautiful, but I am very disappointed with the SIX mm difference. Also I did not receive a free gift. One plus was that it came a few days early, but I do not think these beads are worth (with standard shipping) 16 dollars.",1
"Great quality shoes for the price!!!  My son loves shoes he can wear without socks, get wet, but are also easy for him to out on and take off.  I was iffy about purchasing shoes from Amazon without being able to feel the quality, but these are very nice!  They fit as expected, the colors are bright, and the material is just soft enough to be comfy but hard enough to stand up to the punishment of my 5 year old.  I will comment again in the future if he is able to destroy them :)

I received this itemat a discount in return for my honest unbiased review.",1
"These horns last forever! I've had two of these floating around my house for a month now and my dogs absolutely love working on them. Both of my dogs are in the 40-50 pound range and these horns have lasted longer with their chewing than most bone-like treats have. So far I've seen no splinters, no breaking. They don't smell, unlike other treats we've given our dogs. I highly recommend these if you're looking for a healthy treat that will keep your dog's teeth and gums in good shape.

I was sent this item, either for free or at a discount, for testing and review purposes.",1
"So far, so good. It does what I need it for and seems to wok well. I received this item at a discount for my unbiased review.",1
"SUPER FABRIC: Professional sport fabric of the bra: moisture wicking technology adpoted to keep you dry and dry;lightweight provides comfortable feeling against skin. Anti-pilling anti-fading, breathable and perfect shape recovery.
  UNIQUE DESIGN: This sport bra features non wired and wide shoulder strap, minimizing the compression from the strap to shoulder and adding more comfort. What's more, stay-put racereback design for free movement; scoop neckline to show your beauty of collarbone. Flat seam, 3D fitting and elastic waistband.
  INSPIRED FOR: Yoga, Gym, Running, Sports, Dance, Studio, and High Impact Workouts. Enjoy your workout with the sexy and comfortable bra.
  I wanted this bra for the gym and around the house where I hate to wear a tight, conforming bra. Many bras are uncomfortable and the first thing that a woman thinks about when getting home is whipping that bra off, now. When the opportunity came up to try this brand at a reduced cost for an honest review I jumped at it. I am completely happy with this product and how it makes me feel and how it feels while wearing it. It is comfortable but at the same time provides adequate support. Would I buy this product again? yes I would. Would I recommend this product to other people? Yes I would including friends and family..I absolutely think this is great product. I received this product discounted in exchange for my honest and unbiased review.",1
Roswear Women's Padded Color Block Push Up bra bathing suit in black and white arrived this weekend! it fits great! I love it! I am so excited to wear this to Punta Cana for my honeymoon! it fits great and I am so excited that the straps are adjustable! it is made well and the material and adjustments are great!,0
"Well it's very nice first off. I've ordered from them before and like their merchandise. Seems like they skip the fancy packageing and send to you in your area regular envelop. Never had a problem with my order/ or not fitting, being late etc. So I will order from them again. I like the quality... Design.... Enough said.",0
"Actually, I LOVED my little Weber Q1400 electric grill but after 3 years, it just died. Why would I dislike the Q 2400? Actually, its the larger grill surface. By spreading out the elements over a larger surface, the grill doesn't nearly get as hot using the same 110V circuit in my townhome. In fact, I have never seen the grill get to a temperature that the heat levels out - power always stays on. For a smaller group of 1-2, the bigger Weber is a waste - it just doesn't get as hot. Wish I had bought the smaller Q1400.",0
"Great fit, great price, fast delivery.",0
Nice case. Slim profile isn't bulky.,0
A simple tool that does a great job.,0
"Awful! Read the other reviews and you'll see why. I have the same complaint.
Would never purchase again.",0
"Life with cats is definitely easier when you have all of the right equipment and that includes kitty liter mats! The Pet Pagoda mat is a great size that allows a lot of the litter that gets stuck to my cats feet to be caught in the fibers. This prevents bits of cat liter from being tracked beyond that area.
love the pattern and texture of the mat. I received the gray mat. The unique design makes it look more like a rug than a cat liter mat, which I really like. We generally take the mat outside to shake and then brush off. This is very easy to clean. Although I have not had to use the hose to wash our mat yet, I can see why it would be easy to do. I'm lucky that my cat doesn't 'mess' anywhere he's not supposed to! After a while any surface can start smelling of kitty liter so I will be scrubbing this from time to time just for that reason.

I took a close up of the mat to show how the litter easily gets trapped. Because of the type of material used, this will be much easier than having to deal with the old rug we used to deal with. I received this at a discount for my evaluation and honest review.",1
"This was Bought for me as a gift and I must say I love it! the durability is great.
The ball head works wonderfully and the pricing for the limited edition one is perfect if your on a budget.
Would definitely recommend this to a friend.",0
We use these for our kids swing and they work great. Have held up well through the weather and handling the friction well from the wood they are wrapped around.,0
Works fine.,0
it works great .i received it a few days early,0
Was comfortable after i added on the extender that came with it,0
"I really like this clock. It allows me to press the top and see the time on the ceiling or wall without raising up to look at my main clock in the bedroom, which is sometimes very hard to do  If you have back problems, or have just had surgery. It is a little difficult to get all the settings just right but after that is done it is a real help at night to see what time it is. It is nice to either run on usb power or AAA batteries. I've been looking for a clock like this for a long time, but they were very expensive. This alarm clock won't break the bank, and is a real big help. This product was provided for free, or at a discounted price in exchange for my honest review.",1
Too flimsy. Not of any use.,0
"The fur was coming off when i open the package, handcuffs broke during ""play time"".
what you pay for is what you get.",0
Great little kitchen tool; its eggcellent,0
"Nice and clean looking electronic salt OR pepper grinder.
This unit puts out a nice fine grain with no effort on your part and has a nifty light as well. My biggest complaint would be how small the salt OR pepper chamber is. The product is plenty tall and would seem to hold a lot more, but its all battery compartment. I thinking that's why I like how powerful it is (all the batteries), but am not looking forward to filling it all the time. I will probably only use this at the table opposed to a cooking tool so I don't have to keep refilling as much.
I also must have read the description wrong, or misunderstood as I thought I was receiving a salt AND pepper grinder. When I first opened it up and saw only one unit  I was thinking maybe it was even cooler than I thought, that maybe it had salt on one end and pepper on the other. However, that was not the case. You need to buy two units in order to have one for salt and one for pepper.

Disclaimer: I received this product at a discounted rate for my truthful and unbiased opinion.",1
"This economical cooler is both aesthetically and practically essential for keeping wine nicely chilled.  Unlike ice-buckets, there's no problem with dripping water, and the wine won't become overly chilled.",0
"These are actually a really nice pair of shoes for the price, BUT TAKE GOOD NOTE OF THE SIZING! It does indeed run a little small. I have a pair of 8.5 M size Sperrys and with those, I have a good centimeter or two from the tip of my toe to the edge of the shoes. With these shoes, however, I ordered 8.5 M size and you can see my big toe wanting to stick out of the shoe (it makes a sizeable lump). Thankfully, the shoes are mesh and are comfortable in general so its not a huge issue. This is the only reason I took off a star.

Other notes:
What I like
- Cheap-feeling, but nice and comfortablecolor is nice too!
- SUPER light. Feels like it shouldas if Im just wearing cloth over my feet with a nice thick sole.

What I don't like
- See my note above about sizing

Over all, worth getting!

I received this product at a discounted rate in exchange for a reviewMy reviews are nevertheless unbiased, honest, and targeted towards giving other buyers an accurate portrayal of the product!",1
According to reviews I expected more than I should. It's just a cheap China made product. It zooms enough just to see a bird on a tree that is right in front of you.,0
"I have had this floor cleaner for just over a year.  We use it to clean our tile floors which comes in handy as we have several dogs.  This machine has been average in comparison to the Hoover Floormate Hard Floor Cleaner (FH40010B) that we had previously.  The Hoover Floormate Deluxe does not have anywhere near the suction or scrubbing power in comparison.  Nor does it seem to last anywhere near as long as the FH40010B that we had for several years before the wheel assembly broker.  My most definitive reason for not recommending this product is the fact that in just over a year (May 2016 was one year of ownership), the hose that connects the body of the cleaner to the head has come almost completely apart rendering the machine pretty much useless as it cannot suck up liquids of any kind.  I am a huge fan of many Hoover products and it is the only vacuum and carpet cleaner I will buy.  That being said this specific product needs some design corrections to make it what its predecessors were in quality and durability.",0
"Very nice product! I didn't think it was cheap or flimsy material like a few others have said...it's holding up with my 5 year old and her kitten attacking it so that's saying something! (We haven't hung it up yet) Love the way they have it set up in rows and columns, it really helps kids to see the numbers lined up like this....it just seems to make more sense to them this way. My 5 year old likes it & uses it for counting so you can't go wrong with that! I would definitely recommend this chart to anyone.",0
"I got this for my wife.  She is a size 6, and the ring size was perfect.  It is also small and compact.  The picture shown in the product makes it appear larger (possibly because they are showing men's version).  This one is perfect for a woman's hand.  It looks great and we love the infinity (eternity) logo as well because of what it symbolizes.  The material is soft silicone, and feels very comfortable on the finger.  This ring is made of food grade silicone so it is safe to wear.  We are really happy with this ring and it now serves its purpose of being used when we are doing work with our hands and don't want to damage our gold or diamonds rings.  It allows us to still show our commitment to each other with a silicone ring during those times.  She is really happy with the ring and I highly recommend the product to others.

Disclaimer - I received this product at a discount in exchange for my fair and unbiased review.  When I receive products to review, I feel it is my responsibility as a fellow consumer to post my unbiased opinion with the intent of helping others make the right buying decision for them and also to increase awareness of the item that will help reduce returns. I also promise to update my reviews if, at any time in the future, I have a problem with the item malfunctioning or causing harm, as I have done in the past.",1
It shrank a lot but I should have read the label. Do not put in dryer!,0
"I ordered the Men's Plaid Knit Lounge Shorts in an @XL for my husband.  These shorts are very well made and comfortable.  The fabric is thin and light weight which is perfect for my hot natured husband.  The length of the shorts are great.  They hit right at his knee.  I washed the shorts and they held their shape and still fit the same.  I will be ordering some more of these shorts soon.

I received this product free for my unbiased review and testing.",1
"Overall the product looked decent when arriving small package which included; one large box, with grill, cook surface, fondue pot, forks ,and trays

Overall for the price for this item is great. I love the option to fondue and cook all in one. We used this two nights in a row we just could not get enough. The unit puts out a fair amount of heat so be careful of the table surroundings. We will be using this at least a few times a month for family meals around the table.

I would consider purchasing this product again. I received this product for a reduced cost in exchange of my honest review. These are strictly my opinions. I was not prompted on what to write and I am not affiliated with this company. I rely heavily on other peoples online reviews when making purchasing decisions so I understand the importance of an honest and fair review.",1
looks great,0
GREAT!!! son liked the look of them- pretty sturdy to be so inexpensive. Impressed.,0
"I bought this for my mom for a Mother's Day Present. It's well made and the inside is just as adorable as the outside. She told me she has gotten so many compliments. Great purchase!

I will have to edit my review. After a few months of using this purse, it is already falling apart. The bow has come off and the handles are ripping. So disappointing!",0
"I received this package very quickly.  All of the items were packaged up nicely and everything seems to be in perfect condition.  I have an android phone and have no access to an Iphone, but the android cable works perfectly.  I also tested both ports on the receptacle, and both functioned flawlessly. The port with 2.1A charges my phone alot faster than the other, but some phone need the lower amperage.  This charger has a nice textured anti-slip grip that provides easy handling while placing it in the charging port or removing.

Overall, this is a solid charger and it would be a great item for anyone to use for charging up all of your electronics.

I received this item at a discount to complete an honest review of it.  I take this very seriously and always use the products prior to reviewing.  I hope this interview helps you make a decision about this item.",1
"If the price is too good to be true, it probably is.  This bag appears to be marked down 50%, but I would price it at the $40-50 as a realistic reflection of its quality.

PROS:  Lots of space, very compartmentalized to store lots of stuff.
CONS: Poor quality of materials. multiple zippers broke quickly, bottom wears easily, and bag not wide enough to carry easily.  Bat compartment separator broke quickly as well, making it very hard to get 34"" bats to fit all the way in.

Used for 2-3 months, went back to my old Demarini bag that has lasted 3 years, will probably take the wheels off this bag to use on it, so not a total waste, and I provided my wife some vindication as well since she bought me the old bag, so an added bonus.  :)",0
Does not work for EU.,0
Nice array of colors and they work and highlight well.,0
"I bought this armband to stow my Samsung Galaxy S7 in while I am running.  I like the material because it does not irritate my skin and stays in place while I am running as well as working out.  This is worth the money.
Made from high quality brand new NEOPRENE rather than Lycra, it is sweat resistant and strong yet incredibly flexible and expandable -- Easily bends, flexes, twists, and folds without warping -- Comfort-grip keeps the band firmly on your arm during workouts and running
Hidden build in Key and Credit card holder make it more functional/convenience for daily outdoor and indoor sports
UrSpeedtekLive armbands exercise gym sportband include a Reflective Strip for safe running in low light conditions -- A protective screen cover maintains full touch screen functionality for touch enabled devices and cellular -- Headphone and charger cutouts allow direct access to the phone through the armband
Disclosure : I purchased this item at a discounted price in exchange for my. honest unbiased review. I am not under any obligation to give a 5 star review, if not warranted. If I feel the product is not a 5 star, I would rate it accordingly. If my review has helped you in any way to make a decision please feel free to let me know by clicking on the YES button below.",1
5 Stars would buy from seller again.,0
This key holder fits my Dodge Ram key perfectly! I've been looking everywhere for one but with no luck until now. I am able to fit this huge 4 button remote key and my house key into this holder. I have had no problem keeping it where I hid it on my thruck. the magnet is strong enough to keep it in place. I've used the normal size key holders before with regular size keys and the didn't hols as well as this one. I received the product for free or at a discount for an honest review,1
"I found the bore sighted to be easy to use, but you'll need the instructions inside to put it together. The battery compartment and on/off switch could be better protected. The laser could be more refined too. It is ok at short distances but when you get it out further the small dot doubles and triples in size. It is a good product for those who are trying to sight quickly, but for those who need long distance sighting, it may not be for you.

** I received this product at a discounted price in exchange for my honest review.",1
"We love our new OXO coffee maker! Favorite features:
-The easy to set timer that lets you wake up to the sound and smell of coffee brewing
-The internal mixer somehow really does prevent the coffee from separating. Every sip down to the last is the same.
-The carafe keeps the coffee warm
-The design is gorgeous and sleek

(I received this as a free product through Influenster for testing purposes)",1
In the beginning it would sometimes lose connection with the router or internet access for no reason but that seems to have stopped,0
"There's quite a bit of wax on the outside of the glasses so we'll have to clean them before I can use them. Not too big of a deal though, besides that they are really great!",0
"Great! Makes the coffee super quick and it tastes great. I received 4 sample k-cups, descaling solution and 2 water filters. I bought this to use in my dorm. It doesn't take up too much counter space and it's a beautiful color.",1
